"Bevolking op 1 januari en gemiddeld; geslacht, leeftijd en regio"
""
"";"";"";""
"";"";"";"Perioden";"2021";"2021"
"";"";"";"Geslacht";"Mannen";"Vrouwen"
"Onderwerp";"Leeftijd";"Regio's";"Burgerlijke staat";"Totaal Man";"Totaal Vrouw"
"Bevolking op 1 januari";"66 jaar";"Nederland";"aantal";"101607";"103418"
"Bevolking op 1 januari";"67 jaar";"Nederland";"aantal";"98952";"101208"
"Bevolking op 1 januari";"68 jaar";"Nederland";"aantal";"98181";"100730"
"Bevolking op 1 januari";"69 jaar";"Nederland";"aantal";"93961";"96118"
"Bevolking op 1 januari";"70 jaar";"Nederland";"aantal";"92962";"96286"
"Bevolking op 1 januari";"71 jaar";"Nederland";"aantal";"92722";"96414"
"Bevolking op 1 januari";"72 jaar";"Nederland";"aantal";"94152";"97974"
"Bevolking op 1 januari";"73 jaar";"Nederland";"aantal";"96517";"102387"
"Bevolking op 1 januari";"74 jaar";"Nederland";"aantal";"97705";"103917"
"Bevolking op 1 januari";"75 jaar";"Nederland";"aantal";"67247";"73350"
"Bevolking op 1 januari";"76 jaar";"Nederland";"aantal";"68108";"75245"
"Bevolking op 1 januari";"77 jaar";"Nederland";"aantal";"62623";"69898"
"Bevolking op 1 januari";"78 jaar";"Nederland";"aantal";"55380";"63226"
"Bevolking op 1 januari";"79 jaar";"Nederland";"aantal";"50297";"58686"
"Bevolking op 1 januari";"80 jaar";"Nederland";"aantal";"48560";"58488"
"Bevolking op 1 januari";"81 jaar";"Nederland";"aantal";"43442";"54757"
"Bevolking op 1 januari";"82 jaar";"Nederland";"aantal";"39833";"51143"
"Bevolking op 1 januari";"83 jaar";"Nederland";"aantal";"33923";"45756"
"Bevolking op 1 januari";"84 jaar";"Nederland";"aantal";"30357";"42864"
"Bevolking op 1 januari";"85 jaar";"Nederland";"aantal";"26509";"39103"
"Bevolking op 1 januari";"86 jaar";"Nederland";"aantal";"22721";"35681"
"Bevolking op 1 januari";"87 jaar";"Nederland";"aantal";"18867";"31730"
"Bevolking op 1 januari";"88 jaar";"Nederland";"aantal";"16210";"28981"
"Bevolking op 1 januari";"89 jaar";"Nederland";"aantal";"13000";"25007"
"Bevolking op 1 januari";"90 jaar";"Nederland";"aantal";"10500";"21706"
"Bevolking op 1 januari";"91 jaar";"Nederland";"aantal";"7853";"17335"
"Bevolking op 1 januari";"92 jaar";"Nederland";"aantal";"5941";"14394"
"Bevolking op 1 januari";"93 jaar";"Nederland";"aantal";"4409";"11041"
"Bevolking op 1 januari";"94 jaar";"Nederland";"aantal";"3158";"8711"
"Bevolking op 1 januari";"95 jaar";"Nederland";"aantal";"2160";"6525"
"Bevolking op 1 januari";"96 jaar";"Nederland";"aantal";"1445";"4904"
"Bevolking op 1 januari";"97 jaar";"Nederland";"aantal";"982";"3370"
"Bevolking op 1 januari";"98 jaar";"Nederland";"aantal";"567";"2355"
"Bevolking op 1 januari";"99 jaar";"Nederland";"aantal";"360";"1477"
